case_id,ticker,entry_date,outcome_class,forward_return_3yr,keyword_density_score,trajectory_classification,word_count_current,word_count_prior,density_current,density_prior,density_delta,word_count_change,new_paragraph_ratio
CASE-BDX-2017-06-14-2b3eaf,BDX,2017-06-14,mixed,0.264,1,deteriorating,4363,6136,30,25.3,4.8,-0.289,0
CASE-AVB-2019-01-02-a0e2ea,AVB,2019-01-02,underperform,0.65,0.5,deteriorating,7374,7210,12.1,11.2,0.8,0.023,0.04
CASE-AMP-2019-01-02-e568af,AMP,2019-01-02,winner,1.999,0,stable,17592,16779,20.6,21,-0.3,0.048,0.01
CASE-LULU-2015-12-31-4e3ca6,LULU,2015-12-31,winner,1.351,0,stable,6368,6303,17.6,18.9,-1.3,0.01,0.07
CASE-PEP-2013-01-02-1f0383,PEP,2013-01-02,mixed,0.569,0,stable,11963,11703,9,12.4,-3.4,0.022,0
CASE-HAS-2021-12-31-274261,HAS,2021-12-31,trap,-0.367,1.25,deteriorating,21788,14655,8.1,16,-7.8,0.487,0.48
CASE-PRGO-2015-12-31-cb3135,PRGO,2015-12-31,trap,-0.713,0,stable,11302,18920,6.9,23.1,-16.2,-0.403,0
CASE-D-2021-12-31-3e5d64,D,2021-12-31,trap,-0.204,0.5,deteriorating,10079,10690,8.2,7.5,0.8,-0.057,0
CASE-CMCSA-2021-12-31-ae67e5,CMCSA,2021-12-31,trap,-0.191,0.25,stable,7061,6378,20.5,20.9,-0.3,0.107,0.03
CASE-DLTR-2013-01-02-d5c09b,DLTR,2013-01-02,winner,0.935,1.25,deteriorating,2211,1970,31.7,29.9,1.7,0.122,0.25
CASE-CCL-2013-01-02-e4106b,CCL,2013-01-02,mixed,0.568,1.5,deteriorating,7900,6823,27.5,25.8,1.7,0.158,0.16
CASE-M-2013-01-02-c86774,M,2013-01-02,trap,-0.024,0.5,deteriorating,3051,3003,34.1,33,1.1,0.016,0
CASE-NOV-2021-09-20-daa34b,NOV,2021-09-20,mixed,0.35964221603378355,1,deteriorating,6314,6056,14.3,12.2,2,0.043,0.01
CASE-CTSH-2021-12-31-cb3ed4,CTSH,2021-12-31,trap,-0.096,0.25,stable,6165,5985,6.2,5.7,0.5,0.03,0.11
CASE-EXC-2017-06-14-e56189,EXC,2017-06-14,underperform,0.153,1.25,deteriorating,16277,12360,18.5,19,-0.5,0.317,0.37
CASE-CTAS-2021-12-31-ee7087,CTAS,2021-12-31,winner,0.691,0.5,deteriorating,4225,4149,42.4,41.7,0.7,0.018,0
CASE-SMCI-2021-12-31-3e4fa3,SMCI,2021-12-31,winner,5.837,0.25,stable,15714,15667,23.2,22.8,0.4,0.003,0.14
CASE-RF-2019-01-02-3c8c20,RF,2019-01-02,underperform,0.79,1,deteriorating,12140,12648,33.2,31.1,2.1,-0.04,0
CASE-FCX-2013-01-02-a95aaa,FCX,2013-01-02,trap,-0.776,1,deteriorating,12111,30225,17.9,13,4.9,-0.599,0
CASE-ABBV-2019-01-02-daba03,ABBV,2019-01-02,underperform,0.773,0,stable,6909,6951,21.3,20.9,0.4,-0.006,0
CASE-HP-2013-01-02-f03ff4,HP,2013-01-02,underperform,0.026,0.25,stable,3416,3249,27.8,27.4,0.4,0.051,0.05
