case_id,ticker,cik,sector,market_cap_at_entry,entry_date,entry_cross_section,outcome_class,forward_return_3yr,sp500_return_3yr,spread_variance_slope,spread_theta,si_zipf_velocity,si_csd,si_d1,si_d2,si_theta,si_zipf_x_d1,composite,volume_benford_kld,beta_level,beta_trajectory,beta_velocity,fin_csd,fin_benford_kld,fin_d1_growth,fisher_information,benford_structural_stress,eps_round_number_excess,form4_net_value,form4_buy_sell_ratio,form4_net_direction,form4_log_net_value,form4_purchases_value,form4_sales_value,hurst_revenue,hurst_x_growth_direction,scurve_phase,revenue_d1,revenue_d2
MC-SIMO-2020-09-30,SIMO,,Unknown,14989853563,2020-09-30,2020-Q3,mixed,0.3565,0.3,0.0032605072302558397,0.5283576675433289,-32.2,0.371879561793695,-0.06736484256034538,0.12409576331250777,0.8772104054975391,2.1691479304431214,-0.050000000000000044,,,,,,,,,,,,,,,,,,,,,
MC-SIMO-2022-03-31,SIMO,,Unknown,14989853563,2022-03-31,2022-Q1,trap,-0.2433,0.28,-0.0018465441176470582,0.33284375744425865,-9.236263736263735,0.5658376425143984,-0.10131505395762443,-0.0485267845765921,0.2523889035982927,0.9357725588064102,-0.35,,,,,,,,,,,,,,,,,,,,,
MC-CSL-2020-09-30,CSL,,Unknown,14866375480,2020-09-30,2020-Q3,winner,1.1187,0.3,0.0032605072302558397,0.5283576675433289,15.4,0.9942315007059719,-0.01095759733037355,0.038418038593077235,4.605170185988091,-0.16874699888775266,-0.09999999999999998,,,,,,,,,,,,,,,,,,,,,
MC-CSL-2022-03-31,CSL,,Unknown,14866375480,2022-03-31,2022-Q1,mixed,0.3846,0.28,-0.0018465441176470582,0.33284375744425865,12.697802197802197,0.5434748965546919,-0.035090246964115855,0.031939770215192106,0.3914398733381911,-0.4455690150223722,0.1499999999999999,,,,,,,,,,,,,,,,,,,,,
MC-WPC-2020-09-30,WPC,,Unknown,14798596759,2020-09-30,2020-Q3,trap,-0.17,0.3,0.0032605072302558397,0.5283576675433289,-8.5,0.6152579119284909,0.03989187725886705,-0.04796425851873101,0.599156822277275,-0.3390809567003699,0.050000000000000044,,,,,,,,,,,,,,,,,,,,,
MC-WPC-2022-03-31,WPC,,Unknown,14798596759,2022-03-31,2022-Q1,trap,-0.203,0.28,-0.0018465441176470582,0.33284375744425865,-9.835164835164836,0.47969618320004775,-0.01679566855782858,-0.021193310650000588,0.3917649525418332,0.16518816878303935,-0.15000000000000002,,,,,,,,,,,,,,,,,,,,,
MC-EWBC-2020-09-30,EWBC,,Unknown,14692617186,2020-09-30,2020-Q3,winner,0.61,0.3,0.0032605072302558397,0.5283576675433289,-13.7,0.8990267668789564,0.03386854149488015,0.037068569032911516,0.6530185225804044,-0.4639990184798581,0.19999999999999996,,,,,,,,,,,,,,,,,,,,,
MC-EWBC-2022-03-31,EWBC,,Unknown,14692617186,2022-03-31,2022-Q1,underperform,0.1359,0.28,-0.0018465441176470582,0.33284375744425865,7.065934065934066,0.5033613940782309,0.07667441879553015,0.07714240951673162,0.43293350850140017,0.5417763877530317,0.3500000000000001,,,,,,,,,,,,,,,,,,,,,
MC-NLY-PF-2020-09-30,NLY-PF,,Unknown,14591969653,2020-09-30,2020-Q3,underperform,0.1248,0.3,0.0032605072302558397,0.5283576675433289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC-NLY-PF-2022-03-31,NLY-PF,,Unknown,14591969653,2022-03-31,2022-Q1,underperform,0.0498,0.28,-0.0018465441176470582,0.33284375744425865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
