case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr,current_10k_filing_date,prior_10k_filing_date,current_item1a_word_count,prior_item1a_word_count
MC-MDU-2022-03-31,MDU,0000067716,2022-03-31,,4215351866,winner,0.6693,0.28,2022-02-23,2021-02-19,17243,17015
MC-AXTA-2022-03-31,AXTA,0001616862,2022-03-31,,5968401177,mixed,0.3495,0.28,2022-02-18,2021-02-18,12275,13610
MC-MMS-2022-03-31,MMS,0001032220,2022-03-31,,3737324211,trap,-0.0902,0.28,2021-11-18,2020-11-19,7251,5900
MC-COF-PJ-2022-03-31,COF-PJ,0000927628,2022-03-31,,6734247088,trap,-0.1777,0.28,2022-02-25,2021-02-25,25524,25117
MC-AL-2022-03-31,AL,0001487712,2022-03-31,,7208312068,underperform,0.082,0.28,2022-02-17,2021-02-22,18986,19037
MC-OPLN-2020-09-30,OPLN,0001395942,2020-09-30,,2867347007,underperform,0.0361,0.3,2020-02-19,2019-02-21,10228,11624
MC-HRI-2020-09-30,HRI,0001364479,2020-09-30,,2982986553,winner,2.0028,0.3,2020-02-27,2019-02-28,10979,10731
MC-ABR-PD-2022-03-31,ABR-PD,0001253986,2022-03-31,,3246227720,trap,-0.2169,0.28,2022-02-18,2021-02-19,17336,16912
MC-UE-2020-09-30,UE,0001611547,2020-09-30,,2530527524,winner,0.57,0.3,2020-02-13,2019-02-13,10456,11587
MC-AVNT-2022-03-31,AVNT,0001122976,2022-03-31,,3312847355,trap,-0.2258,0.28,2022-02-22,2021-02-25,5618,6389
MC-CVSA-2022-03-31,CVSA,0000730464,2022-03-31,,4337251911,winner,2.3874,0.28,2021-08-19,2020-08-18,19085,13772
MC-FHB-2022-03-31,FHB,0000036377,2022-03-31,,3108739081,trap,-0.1237,0.28,2022-02-25,2021-02-25,17966,17841
MC-IVT-2022-03-31,IVT,0001307748,2022-03-31,,2362538418,trap,-0.0458,0.28,2022-02-15,2021-02-19,9477,22367
MC-TRMK-2020-09-30,TRMK,0000036146,2020-09-30,,2570370917,underperform,0.0149,0.3,2020-02-20,2019-02-19,7729,7281
MC-LRN-2020-09-30,LRN,0001157408,2020-09-30,,3826007905,winner,0.7096,0.3,2020-08-12,2019-08-07,29927,28904
MC-CXT-2020-09-30,CXT,0000025445,2020-09-30,,2370155216,winner,2.1918,0.3,2020-02-25,2019-02-26,9397,9445
MC-ADAML-2022-03-31,ADAML,0001273685,2022-03-31,,2131957738,trap,-0.0565,0.28,2022-02-25,2021-02-26,24432,23989
