case_id,ticker,cik,sector,market_cap_at_entry,entry_date,entry_cross_section,outcome_class,forward_return_3yr,sp500_return_3yr,alpha_3yr,spread_variance_slope,spread_theta,si_zipf_velocity,si_zipf_velocity_fixed,si_csd,si_d1,si_d2,si_theta,si_beta,si_change,composite,fisher_information,benford_structural_stress,eps_round_number_excess,base10_excess,form4_net_direction,form4_net_value,form4_buy_sell_ratio,form4_purchases_count,form4_purchases_value,form4_sales_count,form4_sales_value
MC-KIM-PM-2022-03-31,KIM-PM,,Unknown,13657589143,2022-03-31,2022-Q1,trap,-0.1604,0.28,-0.4404,-0.0018465441176470582,0.33284375744425865,,,,,,,,,,,,,,,,,,,,
MC-LXP-PC-2020-09-30,LXP-PC,,Unknown,13600533792,2020-09-30,2020-Q3,trap,-0.2289,0.3,-0.5289,0.0032605072302558397,0.5283576675433289,,,,,,,,,,,,,,,,,,,,
MC-LXP-PC-2022-03-31,LXP-PC,,Unknown,13600533792,2022-03-31,2022-Q1,trap,-0.139,0.28,-0.419,-0.0018465441176470582,0.33284375744425865,,,,,,,,,,,,,,,,,,,,
MC-SNX-2020-09-30,SNX,0001177394,Information Technology,13513817611,2020-09-30,2020-Q3,mixed,0.426,0.3,0.126,0.0032605072302558397,0.5283576675433289,-0.5,-0.5,0.9910421067302262,-0.06342707698018965,-0.11750728259522442,1.2242809848568619,0.004166305690096285,0.05515384987252938,-0.30000000000000004,0.09599745125038935,STRUCTURAL_STRESS,0.0020202020202020055,-0.029644859090666324,,,,,,,
MC-SNX-2022-03-31,SNX,0001177394,Information Technology,13513817611,2022-03-31,2022-Q1,underperform,0.0073,0.28,-0.2727,-0.0018465441176470582,0.33284375744425865,0.02197802197802198,0.02197802197802198,0.45178339867391887,0.005206628127856255,0.15140178206863275,0.966848674554753,0.0006074548091890499,-0.019435637467409374,0.050000000000000044,0.18700905066831092,STRUCTURAL_STRESS,-0.01981981981981984,-0.0351461169883368,,,,,,,
MC-RGA-2020-09-30,RGA,0000898174,Financials,13486152569,2020-09-30,2020-Q3,winner,0.5253,0.3,0.2253,0.0032605072302558397,0.5283576675433289,-0.1,-0.1,0.9995780297862303,0.10416709313254044,0.051439602549296276,2.3700058437079172,0.006407784630207406,-0.057964956816143685,0.3999999999999999,0.1281224915222555,STRUCTURAL_STRESS,-0.049557522123893805,-0.04104699648259767,,,,,,,
MC-RGA-2022-03-31,RGA,0000898174,Financials,13486152569,2022-03-31,2022-Q1,winner,0.7988,0.28,0.5188,-0.0018465441176470582,0.33284375744425865,0.3791208791208791,0.3791208791208791,0.31599215924294083,-0.023764516568682666,-0.010285940531972907,0.9807987722823455,0.007777903830588057,0.45389189583063205,0.19999999999999996,0.1281224915222555,STRUCTURAL_STRESS,-0.064,-0.04913359349890301,,,,,,,
MC-ASND-2020-09-30,ASND,,Unknown,13388101203,2020-09-30,2020-Q3,trap,-0.3932,0.3,-0.6932,0.0032605072302558397,0.5283576675433289,7.2,,0.9819012237112398,-0.018514877788110302,0.036673599230166026,0.9020153478030114,0.0019189507121263917,0.05984206992714629,-0.09999999999999998,,,,,,,,,,,
MC-ASND-2022-03-31,ASND,,Unknown,13388101203,2022-03-31,2022-Q1,mixed,0.3281,0.28,0.0481,-0.0018465441176470582,0.33284375744425865,0.6263736263736264,,0.5186413385053731,-0.1592031281281295,-0.026568973102844416,2.144732740733688,-0.006166781685452652,-0.47073843592445985,-0.30000000000000004,,,,,,,,,,,
MC-TOL-2020-09-30,TOL,0000794170,Consumer Discretionary,13327929083,2020-09-30,2020-Q3,winner,0.5199,0.3,0.2199,0.0032605072302558397,0.5283576675433289,-1.5,-1.5,2.4436964841598964e-07,-0.006021448363920483,-0.010171095324267694,1.949935762622047,-0.002191908117255605,0.01854076188041583,0.050000000000000044,0.12704672730993177,STRUCTURAL_STRESS,0.05688073394495413,-0.08556567256917087,,,,,,,
MC-TOL-2022-03-31,TOL,0000794170,Consumer Discretionary,13327929083,2022-03-31,2022-Q1,winner,1.2456,0.28,0.9656,-0.0018465441176470582,0.33284375744425865,-0.16483516483516483,-0.16483516483516483,0.4382745947527506,-0.0012845965992964795,-0.0689045051273877,0.9033021919130613,0.005846597244599888,0.25919596969089304,0.19999999999999996,0.1054131773203104,STRUCTURAL_STRESS,0.031404958677685946,-0.06672915536633628,,,,,,,
MC-TRU-2020-09-30,TRU,0001552033,Industrials,13313623583,2020-09-30,2020-Q3,trap,-0.1467,0.3,-0.4467,0.0032605072302558397,0.5283576675433289,0,0,0.5883382653872211,0.05977584362261911,-0.02937088204787739,0.6500523809381122,0.008283497168993705,0.040487682921124375,0.1499999999999999,0.09499197232866101,STRUCTURAL_STRESS,-0.15384615384615385,-0.07391765394160815,,,,,,,
MC-TRU-2022-03-31,TRU,0001552033,Industrials,13313623583,2022-03-31,2022-Q1,trap,-0.1969,0.28,-0.4769,-0.0018465441176470582,0.33284375744425865,-0.6538461538461539,-0.6538461538461539,0.36968535496107235,-0.1714279787924086,-0.11923804592851361,3.389087683328094,-0.00019541154438533744,-0.037779343953965906,-0.15000000000000002,0.09811580435492305,STRUCTURAL_STRESS,-0.13506493506493508,-0.06603499832269014,,,,,,,
